,Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
11,712,2009,NBA,2,38,POR,Jon Brockman,22.103,F,us,University of Washington,2010,2012,150,10.5,2.1,3.1,0.3,0.2,0.1,.488,.490,.000,.618,3.7,.113
12,713,2012,NBA,2,45,PHI,Justin Hamilton,22.094,C,us,Louisiana State University,2014,2017,113,17.4,6.1,3.6,0.8,0.5,0.6,.464,.560,.309,.798,3.7,.091
13,714,2005,NBA,1,14,MIN,Rashad McCants,20.281,G,us,University of North Carolina,2006,2009,249,20.2,10.0,2.0,1.3,0.7,0.2,.431,.467,.368,.741,3.6,.035
14,715,1997,NBA,1,11,SAC,Tariq Abdul-Wahad,22.240,F,fr,San Jose State University,1998,2003,236,20.4,7.8,3.3,1.1,0.8,0.4,.417,.425,.237,.703,3.5,.035
15,716,2013,NBA,2,47,ATL,Raul Neto,21.044,G,br,,2016,2018,162,14.5,4.7,1.2,1.7,0.6,0.1,.439,.469,.388,.754,3.4,.070
16,717,2017,NBA,1,30,UTA,Josh Hart,22.114,G,us,Villanova University,2018,2018,63,23.2,7.9,4.2,1.3,0.7,0.3,.469,.551,.396,.702,3.4,.111
17,718,1997,NBA,2,44,CLE,Cedric Henderson,22.112,F,us,University of Memphis,1998,2002,260,23.8,7.3,2.9,1.6,0.9,0.4,.436,.443,.140,.715,3.3,.026
18,719,2005,NBA,2,39,LAL,Von Wafer,19.347,G,us,Florida State University,2006,2012,200,12.4,5.3,1.2,0.7,0.4,0.1,.420,.469,.325,.751,3.3,.064
19,720,2009,NBA,1,20,UTA,Eric Maynor,22.020,G,us,Virginia Commonwealth University,2010,2014,267,14.6,4.3,1.3,2.8,0.4,0.1,.392,.409,.350,.721,3.3,.041
22,721,2010,NBA,1,20,SAS,James Anderson,21.096,G-F,us,Oklahoma State University,2011,2016,247,17.5,5.8,2.3,1.2,0.5,0.2,.411,.495,.321,.755,3.3,.037
23,722,2015,NBA,2,44,PHO,Andrew Harrison,20.245,G,us,University of Kentucky,2017,2018,128,21.9,7.5,2.1,2.9,0.7,0.4,.378,.424,.302,.771,3.3,.056
24,723,2017,NBA,1,7,MIN,Lauri Markkanen,20.036,F-C,fi,University of Arizona,2018,2018,68,29.7,15.2,7.5,1.2,0.6,0.6,.434,.497,.362,.843,3.3,.079
25,724,1992,NBA,2,34,MIN,Chris Smith,22.044,G,us,University of Connecticut,1993,1995,224,17.7,5.1,1.3,2.8,0.5,0.3,.435,.449,.366,.713,3.2,.039
26,725,1997,NBA,1,25,NYK,John Thomas,21.296,F,us,University of Minnesota,1998,2006,208,10.8,2.7,2.1,0.3,0.3,0.2,.502,.505,.000,.591,3.2,.067
27,726,2004,NBA,1,29,IND,David Harrison,21.319,C,us,University of Colorado,2005,2008,189,14.2,5.0,2.9,0.2,0.3,1.0,.530,.530,,.525,3.2,.057
28,727,2006,NBA,1,30,POR,Joel Freeland,19.146,F-C,gb,,2013,2015,151,12.1,3.2,3.4,0.4,0.2,0.4,.459,.461,.000,.728,3.2,.084
29,728,2011,NBA,1,25,BOS,MarShon Brooks,22.153,G-F,us,Providence College,2012,2018,171,17.9,8.2,2.2,1.5,0.6,0.2,.447,.471,.359,.757,3.2,.050
30,729,2016,NBA,1,29,SAS,Dejounte Murray,19.282,G,us,University of Washington,2017,2018,119,17.4,6.6,4.2,2.3,0.9,0.3,.441,.452,.316,.708,3.2,.074
31,730,2016,NBA,2,31,BOS,Deyonta Davis,19.208,C-F,us,Michigan State University,2017,2018,98,12.1,4.3,3.2,0.4,0.2,0.6,.593,.593,,.640,3.2,.130
32,731,1998,NBA,1,24,SAS,Felipe Lopez,23.193,G,do,St. John's University,1999,2002,249,16.6,5.8,2.4,1.0,0.6,0.2,.432,.445,.327,.659,3.1,.036
33,732,2001,NBA,2,46,MIN,Loren Woods,23.012,F-C,us,University of Arizona,2002,2008,215,11.3,2.6,3.2,0.3,0.3,0.6,.419,.423,.143,.642,3.1,.062
34,733,2005,NBA,1,15,NJN,Antoine Wright,21.148,G-F,us,Texas A&M University,2006,2011,297,19.2,5.4,2.3,1.0,0.5,0.2,.412,.467,.304,.674,3.1,.026
35,734,2007,NBA,1,6,MIL,Yi Jianlian,19.249,F,cn,,2008,2012,272,22.2,7.9,4.9,0.7,0.5,0.7,.404,.413,.333,.780,3.1,.025
36,735,2016,NBA,1,12,UTA,Taurean Prince,22.099,F,us,Baylor University,2017,2018,141,24.4,10.6,3.9,1.9,0.9,0.5,.420,.456,.374,.825,3.1,.043
37,736,2016,NBA,1,14,CHI,Denzel Valentine,22.225,G,us,Michigan State University,2017,2018,134,22.9,8.0,4.1,2.3,0.7,0.1,.399,.434,.374,.754,3.1,.048
38,737,1995,NBA,1,29,SAS,Cory Alexander,22.011,G,us,University of Virginia,1996,2005,307,15.8,5.5,1.6,2.7,0.9,0.1,.389,.417,.354,.756,3.0,.030
39,738,2001,NBA,1,11,BOS,Kedrick Brown,20.106,G,us,Okaloosa-Walton Community College,2002,2005,143,13.5,3.6,2.4,0.7,0.6,0.2,.405,.471,.274,.640,3.0,.074
40,739,2005,NBA,2,48,SEA,Mickael Gelabale,22.043,F,gp,,2007,2013,145,16.2,4.6,2.3,0.8,0.3,0.2,.470,.519,.316,.815,3.0,.062
41,740,2007,NBA,1,17,NJN,Sean Williams,20.293,C-F,us,Boston College,2008,2012,137,14.4,4.2,3.4,0.3,0.3,1.2,.511,.512,.000,.624,3.0,.073
44,741,2011,NBA,1,26,DAL,Jordan Hamilton,20.265,G-F,us,University of Texas at Austin,2012,2016,151,13.9,5.9,2.8,0.8,0.5,0.2,.408,.451,.357,.670,3.0,.069
45,742,2011,NBA,1,28,CHI,Norris Cole,22.258,G,us,Cleveland State University,2012,2017,360,22.3,7.0,2.0,2.7,0.8,0.1,.407,.436,.324,.743,3.0,.018
46,743,2013,NBA,2,48,LAL,Ryan Kelly,22.085,F,us,Duke University,2014,2017,163,19.2,6.0,3.1,1.3,0.5,0.5,.378,.416,.316,.797,3.0,.046
47,744,2015,NBA,1,3,PHI,Jahlil Okafor,19.197,C-F,us,Duke University,2016,2018,131,23.5,12.9,5.3,1.0,0.3,1.0,.515,.517,.200,.682,3.0,.047
48,745,2017,NBA,1,23,TOR,OG Anunoby,19.345,F,gb,Indiana University,2018,2018,74,20.0,5.9,2.5,0.7,0.7,0.2,.471,.604,.371,.629,3.0,.098
49,746,1998,NBA,2,36,SAC,Jerome James,22.225,C,us,Florida Agricultural and Mechanical University,1999,2009,358,13.3,4.3,3.1,0.3,0.3,1.1,.485,.486,.000,.617,2.9,.029
50,747,1999,NBA,1,11,CLE,Trajan Langdon,23.053,G,us,Duke University,2000,2002,119,14.6,5.4,1.3,1.3,0.5,0.1,.416,.429,.396,.910,2.9,.079
51,748,1999,NBA,2,53,MIA,Rodney Buford,21.245,G-F,us,Creighton University,2000,2005,230,18.2,6.4,2.6,0.8,0.5,0.1,.412,.433,.300,.758,2.9,.033
52,749,2002,NBA,2,44,CHI,Lonny Baxter,23.156,F,us,University of Maryland,2003,2006,162,11.6,3.9,2.9,0.2,0.2,0.4,.466,.469,.200,.657,2.9,.075
53,750,2008,NBA,2,33,POR,Joey Dorsey,24.199,F,us,University of Memphis,2009,2015,130,11.4,2.6,3.9,0.4,0.5,0.3,.534,.536,.000,.375,2.9,.092
54,751,2009,NBA,1,14,PHO,Earl Clark,21.165,F,us,University of Louisville,2010,2015,261,13.9,4.4,3.0,0.5,0.3,0.5,.403,.424,.328,.664,2.9,.038
55,752,2014,NBA,1,27,PHO,Bogdan Bogdanovic,21.317,G,rs,,2018,2018,78,27.9,11.8,2.9,3.3,0.9,0.2,.446,.485,.392,.840,2.9,.064
56,753,2017,NBA,2,38,CHI,Jordan Bell,22.172,F,us,University of Oregon,2018,2018,57,14.2,4.6,3.6,1.8,0.6,1.0,.627,.641,.000,.682,2.9,.174
57,754,1997,NBA,1,18,POR,Chris Anstey,22.181,C,au,,1998,2000,155,13.9,5.2,3.4,0.8,0.5,0.4,.413,.424,.138,.755,2.8,.062
58,755,2015,NBA,1,8,DET,Stanley Johnson,19.031,F,us,University of Arizona,2016,2018,219,22.6,7.0,3.4,1.5,0.9,0.2,.370,.417,.295,.760,2.8,.027
59,756,2015,NBA,2,41,BRK,Pat Connaughton,22.175,G,us,University of Notre Dame,2016,2018,155,12.6,3.7,1.6,0.8,0.2,0.2,.421,.482,.364,.845,2.8,.070
60,757,2016,NBA,1,10,MIL,Thon Maker,19.123,F-C,ss,,2017,2018,131,13.7,4.4,2.6,0.5,0.4,0.6,.429,.483,.331,.683,2.8,.074
61,758,2000,NBA,1,4,CHI,Marcus Fizer,21.328,F,us,Iowa State University,2001,2006,289,20.9,9.6,4.6,1.2,0.5,0.3,.435,.446,.191,.691,2.7,.022
62,759,2012,NBA,1,23,ATL,John Jenkins,21.120,G,us,Vanderbilt University,2013,2017,145,12.8,5.1,1.5,0.8,0.2,0.1,.448,.513,.364,.849,2.7,.071
63,760,2014,NBA,1,8,SAC,Nik Stauskas,20.267,G,ca,University of Michigan,2015,2018,267,21.1,7.0,2.1,1.6,0.4,0.3,.386,.435,.349,.801,2.7,.023
66,761,2015,NBA,1,25,MEM,Jarell Martin,21.037,F,us,Louisiana State University,2016,2018,142,18.3,6.2,4.0,0.7,0.5,0.5,.436,.455,.344,.763,2.7,.051
67,762,1992,NBA,2,28,MIN,Marlon Maxey,23.131,F,us,University of Texas at El Paso,1993,1994,98,11.7,4.9,3.7,0.2,0.3,0.5,.542,.547,.000,.685,2.6,.109
68,763,1994,NBA,2,33,PHI,Derrick Alston,21.318,F,us,Duquesne University,1995,1997,139,19.1,5.4,3.8,0.7,0.7,0.6,.489,.493,.143,.487,2.6,.047
69,764,1998,NBA,2,44,NYK,Sean Marks,22.311,F-C,nz,University of California,1999,2011,230,9.9,2.8,2.2,0.2,0.1,0.4,.448,.459,.200,.665,2.6,.055
70,765,2005,NBA,1,13,CHA,Sean May,21.090,F,us,University of North Carolina,2006,2010,119,15.7,6.9,4.0,1.0,0.4,0.4,.458,.462,.231,.746,2.6,.068
71,766,2009,NBA,2,45,MIN,Nick Calathes,20.143,G,us,University of Florida,2014,2015,129,15.6,4.6,1.9,2.7,1.0,0.1,.441,.476,.288,.581,2.6,.063
72,767,2016,NBA,1,28,PHO,Skal Labissiere,20.102,F,ht,University of Kentucky,2017,2018,93,19.9,8.7,4.8,1.1,0.4,0.7,.476,.488,.356,.766,2.6,.069
73,768,2017,NBA,1,12,DET,Luke Kennard,21.003,G,us,Duke University,2018,2018,73,20.0,7.6,2.4,1.7,0.6,0.2,.443,.463,.415,.855,2.6,.085
74,769,1993,NBA,2,33,DAL,Eric Riley,23.034,C,us,University of Michigan,1994,1999,186,9.9,3.1,2.6,0.3,0.3,0.7,.456,.460,.000,.704,2.5,.066
75,770,1998,NBA,1,1,LAC,Michael Olowokandi,23.088,C,ng,University of the Pacific,1999,2007,500,26.3,8.3,6.8,0.7,0.5,1.4,.435,.435,,.597,2.5,.009
76,771,2005,NBA,2,55,SEA,Lawrence Roberts,22.257,F,us,Mississippi State University,2006,2007,87,13.2,3.8,3.6,0.4,0.5,0.2,.452,.460,.000,.688,2.5,.106
77,772,2015,NBA,1,5,ORL,Mario Hezonja,20.125,F-G,hr,,2016,2018,219,18.4,6.9,2.8,1.3,0.7,0.3,.418,.487,.332,.837,2.5,.029
78,773,2016,NBA,1,2,LAL,Brandon Ingram,18.299,F,us,Duke University,2017,2018,138,30.8,12.2,4.6,2.9,0.7,0.6,.438,.466,.329,.655,2.5,.028
79,774,2016,NBA,1,8,SAC,Marquese Chriss,18.361,F,us,University of Washington,2017,2018,154,21.2,8.5,4.8,0.9,0.8,0.9,.438,.515,.309,.617,2.5,.037
80,775,1998,NBA,1,16,HOU,Bryce Drew,23.282,G,us,Valparaiso University,1999,2004,243,16.3,4.4,1.2,2.2,0.5,0.0,.382,.389,.371,.830,2.4,.030
81,776,2009,NBA,2,53,SAS,Nando De Colo,22.008,G,fr,,2013,2014,119,11.9,3.8,1.8,1.7,0.5,0.1,.429,.463,.363,.835,2.4,.081
82,777,2011,NBA,1,10,MIL,Jimmer Fredette,22.123,G,us,Brigham Young University,2012,2016,235,13.4,6.0,1.0,1.4,0.4,0.0,.412,.432,.381,.876,2.4,.037
83,778,2012,NBA,2,60,LAL,Robert Sacre,23.028,C,us,Gonzaga University,2013,2016,189,14.5,4.2,3.1,0.7,0.3,0.6,.436,.437,.000,.671,2.4,.042
84,779,2016,NBA,2,33,LAC,Cheick Diallo,19.288,F,ml,University of Kansas,2017,2018,69,11.3,4.9,4.1,0.3,0.2,0.4,.548,.548,,.747,2.4,.145
85,780,1995,NBA,2,48,MIN,Mark Davis,22.068,G-F,us,Texas Tech University,1996,2000,230,16.0,5.5,3.0,1.3,0.9,0.3,.442,.465,.246,.655,2.3,.030
88,781,1996,NBA,2,42,HOU,Randy Livingston,21.091,G,us,Louisiana State University,1997,2007,203,13.2,3.8,1.4,2.0,0.6,0.2,.406,.414,.351,.771,2.3,.041
89,782,1998,NBA,2,58,CHI,Maceo Baston,23.032,F,us,University of Michigan,2003,2009,105,7.9,2.7,1.7,0.2,0.2,0.4,.616,.628,.375,.740,2.3,.134
90,783,2011,NBA,1,18,WAS,Chris Singleton,21.219,F,us,Florida State University,2012,2014,148,17.6,4.1,3.2,0.6,0.8,0.4,.376,.400,.319,.633,2.3,.042
91,784,2016,NBA,2,38,MIL,Patrick McCaw,20.247,G,us,"University of Nevada, Las Vegas",2017,2018,128,15.9,4.0,1.4,1.2,0.6,0.2,.421,.517,.296,.775,2.3,.054
92,785,1996,NBA,1,11,GSW,Todd Fuller,21.342,C,us,North Carolina State University,1997,2001,225,11.1,3.7,3.0,0.2,0.2,0.3,.422,.424,.000,.668,2.2,.041
93,786,1999,NBA,1,26,IND,Vonteego Cummings,23.127,G,us,University of Pittsburgh,2000,2002,199,19.0,6.9,1.9,2.7,0.9,0.2,.383,.404,.321,.726,2.2,.028
94,787,2005,NBA,2,31,ATL,Salim Stoudamire,22.266,G,us,University of Arizona,2006,2008,157,17.0,8.0,1.4,1.0,0.4,0.1,.407,.435,.366,.882,2.2,.040
95,788,2016,NBA,1,15,DEN,Juan Hernangomez,20.274,F,es,,2017,2018,87,12.9,4.4,2.8,0.5,0.4,0.2,.435,.515,.368,.761,2.2,.093
96,789,1995,NBA,1,8,POR,Shawn Respert,23.148,G,us,Michigan State University,1996,1999,172,13.7,4.9,1.3,1.0,0.5,0.0,.414,.459,.340,.816,2.1,.043
97,790,1996,NBA,2,31,PHI,Mark Hendrickson,22.009,F,us,Washington State University,1997,2000,114,13.2,3.3,2.8,0.6,0.4,0.1,.416,.431,.167,.803,2.1,.067
98,791,1998,NBA,2,54,DEN,Tremaine Fowlkes,22.079,F,us,"California State University, Fresno",2002,2005,103,12.0,2.9,2.2,0.5,0.5,0.1,.409,.426,.200,.791,2.1,.080
99,792,1999,NBA,2,36,DAL,Wang Zhizhi,21.362,C,cn,,2001,2005,137,9.2,4.4,1.7,0.3,0.2,0.3,.417,.435,.385,.735,2.1,.078
100,793,2000,NBA,1,11,BOS,Jerome Moiso,22.019,F-C,fr,"University of California, Los Angeles",2001,2005,145,9.6,2.7,2.7,0.3,0.3,0.5,.489,.494,.000,.593,2.1,.074
101,794,2001,NBA,1,24,UTA,Raul Lopez,21.078,G,es,,2004,2005,113,18.9,6.5,1.7,3.8,0.7,0.0,.429,.450,.346,.853,2.1,.047
102,795,2011,NBA,2,45,NOH,Josh Harrellson,22.136,C,us,University of Kentucky,2012,2014,75,11.8,3.5,3.0,0.3,0.4,0.5,.438,.497,.347,.629,2.1,.116
103,796,2013,NBA,2,36,SAC,Ray McCallum,22.021,G,us,University of Detroit Mercy,2014,2016,154,18.2,6.0,2.0,2.4,0.5,0.2,.408,.430,.335,.711,2.1,.035
104,797,2016,NBA,2,32,LAL,Ivica Zubac,19.102,C,ba,,2017,2018,81,12.6,5.5,3.5,0.7,0.3,0.6,.519,.525,.000,.710,2.1,.099
105,798,1994,NBA,1,27,ORL,Brooks Thompson,23.351,G,us,Oklahoma State University,1995,1998,168,10.2,4.5,0.9,1.7,0.5,0.0,.409,.456,.376,.647,2.0,.057
106,799,1996,NBA,1,25,UTA,Martin Muursepp,21.279,F,ee,,1997,1998,83,11.5,4.7,2.2,0.6,0.5,0.3,.425,.450,.323,.693,2.0,.100
107,800,2001,NBA,1,17,TOR,Michael Bradley,22.076,F-C,us,Villanova University,2002,2006,173,11.7,2.8,3.4,0.5,0.1,0.3,.477,.488,.143,.511,2.0,.047
0,801,2004,NBA,1,22,NJN,Viktor Khryapa,21.331,F,ua,,2005,2008,143,16.4,4.5,3.4,1.0,0.6,0.3,.443,.457,.292,.658,2.0,.041
1,802,2004,NBA,2,45,CHA,Bernard Robinson,23.186,G-F,us,University of Michigan,2005,2007,128,14.9,4.5,2.5,1.0,0.9,0.1,.417,.434,.161,.786,2.0,.049
2,803,2017,NBA,1,2,LAL,Lonzo Ball,19.243,G,us,"University of California, Los Angeles",2018,2018,52,34.2,10.2,6.9,7.2,1.7,0.8,.360,.420,.305,.451,2.0,.053
3,804,1995,NBA,1,27,PHO,Mario Bennett,21.336,F,us,Arizona State University,1996,2000,68,8.9,4.0,2.7,0.4,0.5,0.3,.534,.537,.333,.511,1.9,.153
4,805,2000,NBA,1,15,MIL,Jason Collier,22.299,C,us,Georgia Institute of Technology,2001,2005,151,14.4,5.6,2.9,0.3,0.2,0.2,.455,.458,.350,.738,1.9,.042
5,806,2012,NBA,2,33,CLE,Bernard James,27.148,C,us,Florida State University,2013,2015,92,8.3,2.2,2.3,0.1,0.2,0.7,.497,.507,.000,.680,1.9,.117
6,807,2012,NBA,2,58,MIN,Robbie Hummel,23.118,F,us,Purdue University,2014,2015,98,14.3,3.9,2.7,0.5,0.3,0.1,.418,.469,.343,.867,1.9,.066
7,808,1994,NBA,2,37,SEA,Dontonio Wingfield,20.011,F,us,University of Cincinnati,1995,1998,114,10.1,3.7,2.4,0.7,0.3,0.1,.389,.437,.309,.721,1.8,.074
8,809,1999,NBA,1,17,ATL,Cal Bowdler,22.096,F,us,Old Dominion University,2000,2002,142,9.7,3.0,1.9,0.2,0.3,0.3,.404,.411,.182,.768,1.8,.061
9,810,2000,NBA,1,26,DEN,Mamadou N'Diaye,25.019,C,sn,Auburn University,2001,2005,69,12.4,3.8,3.3,0.1,0.2,0.9,.427,.429,.000,.736,1.8,.101
10,811,2001,NBA,1,9,DET,Rodney White,21.004,F,us,University of North Carolina at Charlotte,2002,2005,218,15.4,7.1,2.2,1.1,0.5,0.3,.424,.452,.314,.749,1.8,.026
11,812,2008,NBA,2,60,BOS,Semih Erden,21.339,C,tr,,2011,2012,69,13.4,3.8,2.8,0.4,0.4,0.4,.546,.546,,.594,1.8,.094
12,813,2015,NBA,1,14,OKC,Cameron Payne,20.326,G,us,Murray State University,2016,2018,113,15.4,5.9,1.8,2.4,0.7,0.2,.386,.420,.340,.750,1.8,.049
13,814,1994,NBA,2,29,PHO,Antonio Lang,22.050,F-G,us,Duke University,1995,2000,143,9.8,2.3,1.5,0.3,0.4,0.3,.455,.469,.000,.719,1.7,.057
14,815,1996,NBA,1,22,VAN,Roy Rogers,22.317,F,us,University of Alabama,1997,2000,137,16.9,4.8,3.5,0.4,0.2,1.5,.483,.483,.500,.532,1.7,.035
15,816,1996,NBA,1,27,ORL,Brian Evans,22.292,F,us,Indiana University,1997,1999,102,10.8,3.7,1.6,0.8,0.3,0.2,.381,.396,.343,.820,1.7,.076
16,817,1999,NBA,2,37,VAN,Obinna Ekezie,23.318,F-C,ng,University of Maryland,2000,2005,143,10.6,3.6,2.7,0.2,0.3,0.2,.423,.424,.000,.720,1.7,.054
17,818,2002,NBA,1,20,TOR,Kareem Rush,21.244,G,us,University of Missouri,2003,2010,346,17.2,6.4,1.7,1.0,0.4,0.2,.400,.425,.358,.703,1.7,.013
18,819,2004,NBA,1,12,SEA,Robert Swift,18.208,C,us,,2005,2009,97,15.5,4.3,3.9,0.2,0.3,0.9,.506,.506,,.610,1.7,.054
19,820,2010,NBA,2,44,MIL,Jerome Jordan,23.274,C,jm,University of Tulsa,2012,2015,65,7.6,2.8,2.0,0.3,0.1,0.3,.528,.528,,.852,1.7,.168
22,821,2012,NBA,1,27,MIA,Arnett Moultrie,21.228,F,us,Mississippi State University,2013,2014,59,12.4,3.6,3.1,0.2,0.4,0.2,.547,.547,,.667,1.7,.113
23,822,2012,NBA,1,28,OKC,Perry Jones,20.283,F,us,Baylor University,2013,2015,143,11.7,3.4,1.8,0.4,0.3,0.2,.420,.466,.293,.660,1.7,.048
24,823,2014,NBA,1,5,UTA,Dante Exum,18.353,G,au,,2015,2018,162,20.2,5.7,1.8,2.2,0.4,0.2,.395,.483,.306,.757,1.7,.025
25,824,2015,NBA,1,2,LAL,D'Angelo Russell,19.127,G,us,Ohio State University,2016,2018,191,27.8,14.6,3.6,4.3,1.1,0.2,.409,.455,.344,.754,1.7,.015
26,825,1992,NBA,2,35,CHH,Tony Bennett,23.029,G,us,University of Wisconsin-Green Bay,1993,1995,152,12.4,3.5,1.0,2.0,0.5,0.0,.412,.446,.335,.732,1.6,.041
27,826,1992,NBA,2,39,CHI,Litterial Green,22.115,G,us,University of Georgia,1993,1999,148,8.0,2.9,0.5,1.2,0.3,0.0,.420,.448,.077,.665,1.6,.066
28,827,1994,NBA,1,22,SAS,Bill Curley,22.036,F,us,Boston College,1995,2001,147,11.0,2.7,2.0,0.4,0.4,0.3,.444,.449,.222,.743,1.6,.047
29,828,2007,NBA,1,11,ATL,Acie Law,22.159,G,us,Texas A&M University,2008,2011,188,12.7,3.9,1.0,1.6,0.4,0.0,.413,.452,.235,.778,1.6,.032
30,829,2011,NBA,2,53,ORL,DeAndre Liggins,23.089,G,us,University of Kentucky,2012,2018,177,10.8,2.0,1.4,0.7,0.6,0.2,.402,.432,.352,.549,1.6,.040
31,830,2016,NBA,1,24,PHI,Timothe Luwawu,21.051,F,fr,,2017,2018,121,16.5,6.1,1.8,1.1,0.4,0.1,.390,.460,.323,.834,1.6,.039
32,831,1997,NBA,1,26,MIA,Charles Smith,21.313,G,us,University of New Mexico,1998,2006,142,13.9,5.1,1.4,0.9,0.6,0.5,.409,.473,.288,.606,1.5,.036
33,832,2002,NBA,2,37,ATL,David Andersen,22.008,C,au,,2010,2011,103,12.3,4.9,2.8,0.6,0.2,0.2,.440,.467,.347,.674,1.5,.059
34,833,2003,NBA,1,22,NJN,Zoran Planinic,20.292,G,ba,,2004,2006,148,10.7,3.8,1.3,1.1,0.4,0.0,.405,.447,.289,.677,1.5,.046
35,834,2006,NBA,2,45,IND,Alexander Johnson,23.146,F,us,Florida State University,2007,2008,102,12.8,4.3,2.7,0.3,0.4,0.4,.517,.517,,.672,1.5,.056
36,835,2008,NBA,1,28,MEM,Donte Greene,20.131,F,de,Syracuse University,2009,2012,253,16.8,6.1,2.4,0.7,0.4,0.5,.406,.467,.304,.701,1.5,.017
37,836,2008,NBA,2,38,CHA,Kyle Weaver,22.134,G,us,Washington State University,2009,2011,73,18.9,5.0,2.2,1.6,0.8,0.5,.441,.497,.353,.736,1.5,.051
38,837,1994,NBA,1,6,PHI,Sharone Wright,21.155,F-C,us,Clemson University,1995,1998,203,22.3,9.7,5.0,0.6,0.4,1.0,.456,.458,.083,.618,1.4,.015
39,838,1998,NBA,2,30,DAL,Ansu Sesay,21.335,F,us,University of Mississippi,2002,2005,127,10.2,3.2,1.8,0.5,0.3,0.2,.434,.447,.276,.640,1.4,.051
40,839,2002,NBA,1,21,POR,Qyntel Woods,21.135,F,us,Northeast Mississippi Community College,2003,2006,167,12.3,4.1,2.3,0.6,0.4,0.2,.452,.470,.357,.603,1.4,.032
41,840,2002,NBA,2,40,WAS,Juan Carlos Navarro,22.018,G,es,,2008,2008,82,25.8,10.9,2.6,2.2,0.6,0.0,.402,.455,.361,.849,1.4,.031
44,841,2002,NBA,2,47,UTA,Jamal Sampson,19.047,F-C,us,University of California,2003,2007,72,8.8,2.0,3.4,0.4,0.1,0.4,.491,.495,.000,.537,1.4,.106
45,842,2012,NBA,2,36,SAC,Orlando Johnson,23.115,G,us,"University of California, Santa Barbara",2013,2016,103,10.8,3.2,1.7,0.7,0.2,0.1,.358,.398,.311,.727,1.4,.059
46,843,2012,NBA,2,53,LAC,Furkan Aldemir,20.329,F-C,tr,,2015,2015,41,13.2,2.3,4.3,0.7,0.4,0.4,.513,.548,.000,.481,1.4,.122
47,844,1993,NBA,1,17,CHH,Greg Graham,22.222,G,us,Indiana University,1994,1998,207,12.2,4.5,1.1,1.0,0.6,0.1,.407,.438,.290,.775,1.3,.025
48,845,1994,NBA,1,19,DAL,Tony Dumas,21.313,G,us,University of Missouri-Kansas City,1995,1998,156,14.2,7.3,1.3,1.2,0.4,0.1,.404,.438,.327,.608,1.3,.027
49,846,1994,NBA,2,43,POR,Shawnelle Scott,22.018,C,us,St. John's University,1997,2002,105,6.0,1.8,2.2,0.2,0.1,0.2,.464,.464,,.465,1.3,.101
50,847,1996,NBA,2,52,IND,Mark Pope,23.294,F,us,University of Kentucky,1998,2005,153,10.7,1.9,1.7,0.4,0.2,0.3,.401,.455,.179,.573,1.3,.038
51,848,2000,NBA,2,45,SAC,Jabari Smith,23.142,C,us,Louisiana State University,2001,2005,108,9.8,3.0,1.6,0.6,0.3,0.2,.413,.420,.125,.690,1.3,.058
52,849,2008,NBA,2,52,MIA,Darnell Jackson,22.237,F,us,University of Kansas,2009,2011,138,7.5,2.2,1.5,0.2,0.2,0.1,.449,.463,.235,.644,1.3,.059
53,850,2011,NBA,2,36,NJN,Jordan Williams,20.260,F,us,University of Maryland,2012,2012,43,14.8,4.6,3.6,0.3,0.5,0.3,.507,.507,,.652,1.3,.101
54,851,2012,NBA,2,31,CHA,Jeff Taylor,23.042,F,se,Vanderbilt University,2013,2015,132,19.4,6.1,2.0,0.8,0.5,0.2,.409,.458,.319,.665,1.3,.024
55,852,2014,NBA,1,18,PHO,Tyler Ennis,19.311,G,ca,Syracuse University,2015,2018,186,12.6,4.2,1.3,1.9,0.5,0.1,.419,.458,.317,.768,1.3,.026
56,853,2014,NBA,1,21,OKC,Mitch McGary,22.025,F-C,us,University of Michigan,2015,2016,52,10.7,4.4,3.5,0.3,0.3,0.3,.527,.544,.000,.580,1.3,.108
57,854,2014,NBA,2,32,PHI,K.J. McDaniels,21.142,G-F,us,Clemson University,2015,2017,148,14.1,5.3,2.2,0.6,0.5,0.6,.412,.479,.290,.776,1.3,.030
58,855,1994,NBA,2,47,UTA,Jamie Watson,22.132,F,us,University of South Carolina,1995,1999,102,12.2,3.2,1.5,1.1,0.6,0.2,.468,.494,.316,.694,1.2,.045
59,856,2000,NBA,2,42,SEA,Olumide Oyedeji,19.053,C,ng,,2001,2003,93,6.3,1.4,2.1,0.1,0.2,0.2,.495,.495,,.659,1.2,.095
60,857,2017,NBA,1,21,OKC,Terrance Ferguson,19.041,G-F,us,,2018,2018,61,12.5,3.1,0.8,0.3,0.4,0.2,.414,.612,.333,.900,1.2,.077
61,858,2017,NBA,2,35,ORL,Ivan Rabb,20.143,F,us,University of California,2018,2018,36,14.3,5.6,4.4,0.9,0.3,0.4,.566,.566,,.806,1.2,.109
62,859,2017,NBA,2,37,BOS,Semi Ojeleye,22.205,F,us,Southern Methodist University,2018,2018,73,15.8,2.7,2.2,0.3,0.3,0.1,.346,.397,.320,.610,1.2,.048
