,Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
3,604,2003,NBA,1,2,DET,Darko Milicic,18.010,F-C,rs,,2004,2013,468,18.5,6.0,4.2,0.9,0.4,1.3,.460,.461,.000,.574,7.1,.040
4,605,2017,NBA,1,3,BOS,Jayson Tatum,19.116,F,us,Duke University,2018,2018,80,30.5,13.9,5.0,1.6,1.0,0.7,.475,.492,.434,.826,7.1,.139
5,606,2003,NBA,1,19,UTA,Sasha Pavlovic,19.228,G-F,me,,2004,2013,567,15.7,4.9,1.8,0.9,0.5,0.2,.404,.433,.346,.673,7.0,.038
6,607,2015,NBA,1,12,UTA,Trey Lyles,19.237,F,ca,University of Kentucky,2016,2018,224,17.5,7.4,3.9,1.0,0.4,0.3,.435,.483,.358,.703,6.9,.084
7,608,2016,NBA,1,7,DEN,Jamal Murray,19.125,G,ca,University of Kentucky,2017,2018,163,26.6,13.3,3.1,2.7,0.8,0.3,.432,.488,.359,.898,6.9,.076
8,609,2016,NBA,2,36,MIL,Malcolm Brogdon,23.200,G,us,University of Virginia,2017,2018,123,27.8,11.3,3.0,3.8,1.0,0.2,.469,.503,.395,.872,6.9,.096
9,610,1995,NBA,2,47,SAC,Tyus Edney,22.139,G,us,"University of California, Los Angeles",1996,2001,226,21.0,7.6,1.7,4.0,1.0,0.0,.405,.419,.322,.806,6.8,.068
10,611,1999,NBA,2,32,CHI,Michael Ruffin,22.165,F,us,University of Tulsa,2000,2009,414,14.4,1.7,3.9,0.6,0.5,0.5,.407,.409,.000,.459,6.8,.055
11,612,2013,NBA,2,39,POR,Jeff Withey,23.118,C,us,University of Kansas,2014,2018,206,10.1,3.2,2.5,0.3,0.3,0.8,.525,.537,.143,.716,6.8,.157
12,613,2006,NBA,1,17,IND,Shawne Williams,20.137,F,us,University of Memphis,2007,2015,314,17.1,5.6,3.0,0.7,0.4,0.5,.403,.469,.339,.755,6.7,.060
13,614,2013,NBA,1,25,LAC,Reggie Bullock,22.109,G-F,us,University of North Carolina,2014,2018,209,16.1,5.5,1.9,0.8,0.4,0.1,.448,.501,.403,.798,6.7,.096
14,615,2015,NBA,1,16,BOS,Terry Rozier,21.105,G,us,University of Louisville,2016,2018,193,18.9,7.2,3.5,2.1,0.7,0.2,.377,.395,.355,.773,6.7,.088
15,616,2003,NBA,1,13,MEM,Marcus Banks,21.224,G,us,"University of Nevada, Las Vegas",2004,2011,348,16.0,5.9,1.5,2.1,0.8,0.2,.432,.462,.327,.768,6.6,.057
16,617,2015,NBA,1,19,WAS,Jerian Grant,22.264,G,us,University of Notre Dame,2016,2018,213,18.7,6.6,2.0,3.0,0.8,0.1,.411,.464,.313,.784,6.6,.080
17,618,1997,NBA,2,50,ATL,Chris Crawford,22.049,F,us,Marquette University,1998,2004,252,15.8,6.6,2.2,0.6,0.4,0.3,.437,.453,.347,.824,6.5,.078
18,619,2005,NBA,1,9,GSW,Ike Diogu,21.296,F,us,Arizona State University,2006,2012,225,12.4,6.0,3.1,0.3,0.2,0.3,.509,.509,.500,.786,6.5,.112
19,620,1994,NBA,2,52,PHO,Anthony Goldwire,22.302,G,us,University of Houston,1996,2006,266,18.6,6.3,1.3,2.8,0.6,0.0,.407,.419,.386,.792,6.4,.062
22,621,1996,NBA,1,18,NYK,John Wallace,22.143,F,us,Syracuse University,1997,2004,381,16.1,7.6,2.8,0.7,0.4,0.6,.462,.465,.300,.740,6.4,.050
23,622,2000,NBA,1,6,ATL,DerMarr Johnson,20.059,F,us,University of Cincinnati,2001,2008,344,17.2,6.2,2.2,0.9,0.6,0.4,.411,.469,.336,.789,6.4,.052
24,623,1993,NBA,1,16,NJN,Rex Walters,23.116,G,us,University of Kansas,1994,2000,335,13.7,4.6,1.2,1.7,0.4,0.1,.441,.495,.361,.809,6.3,.066
25,624,2009,NBA,2,31,SAC,Jeff Pendergraph,22.063,F,us,Arizona State University,2010,2016,237,9.8,2.9,2.7,0.4,0.2,0.3,.553,.554,.400,.776,6.3,.131
26,625,2010,NBA,1,27,NJN,Jordan Crawford,21.249,G,us,Xavier University,2011,2018,281,24.4,12.2,2.5,3.1,0.7,0.1,.411,.458,.317,.826,6.3,.044
27,626,2015,NBA,1,13,PHO,Devin Booker,18.242,G,us,University of Kentucky,2016,2018,208,32.2,19.8,3.3,3.5,0.8,0.3,.426,.455,.365,.849,6.3,.045
28,627,2002,NBA,1,22,PHO,Casey Jacobsen,21.104,G-F,us,Stanford University,2003,2008,287,18.5,5.2,1.8,1.1,0.4,0.1,.393,.433,.352,.769,6.2,.056
29,628,2006,NBA,1,16,CHI,Rodney Carney,22.079,F,us,University of Memphis,2007,2011,299,15.4,5.9,2.0,0.4,0.5,0.3,.422,.471,.338,.704,6.2,.064
30,629,2007,NBA,2,49,CHI,Aaron Gray,22.208,C,us,University of Pittsburgh,2008,2014,318,12.1,3.4,3.7,0.7,0.3,0.3,.509,.511,.000,.562,6.2,.077
31,630,2010,NBA,2,35,WAS,Nemanja Bjelica,22.051,F,rs,,2016,2018,192,18.9,6.1,3.8,1.3,0.6,0.3,.449,.528,.371,.752,6.2,.081
32,631,2015,NBA,1,15,ATL,Kelly Oubre,19.203,F,us,University of Kansas,2016,2018,223,20.2,7.6,3.4,0.7,0.7,0.3,.412,.482,.322,.780,6.2,.066
33,632,2015,NBA,1,20,TOR,Delon Wright,23.065,G,us,University of Utah,2016,2018,123,17.1,6.6,2.3,2.3,0.9,0.4,.455,.498,.362,.797,6.2,.142
34,633,2016,NBA,1,27,TOR,Pascal Siakam,22.145,F,cm,New Mexico State University,2017,2018,136,18.7,6.0,4.0,1.3,0.6,0.6,.506,.578,.216,.639,6.2,.118
35,634,2002,NBA,1,17,WAS,Juan Dixon,23.266,G,us,University of Maryland,2003,2009,436,19.5,8.4,1.9,1.8,0.8,0.1,.413,.442,.341,.833,6.1,.034
36,635,2007,NBA,1,14,LAC,Al Thornton,23.209,F,us,Florida State University,2008,2011,296,28.0,11.9,4.2,1.2,0.6,0.5,.452,.467,.293,.747,6.1,.035
37,636,2013,NBA,1,16,BOS,Lucas Nogueira,20.341,C,br,,2015,2018,141,12.4,3.2,2.8,0.5,0.6,1.0,.632,.681,.265,.640,6.0,.165
38,637,2016,NBA,1,3,BOS,Jaylen Brown,19.247,F-G,us,University of California,2017,2018,148,23.6,10.4,3.8,1.2,0.7,0.3,.461,.507,.379,.658,6.0,.082
39,638,2002,NBA,1,28,SAC,Dan Dickau,23.289,G,us,Gonzaga University,2003,2008,300,15.4,5.8,1.4,2.5,0.5,0.0,.401,.432,.341,.831,5.9,.061
40,639,2010,NBA,1,17,CHI,Kevin Seraphin,20.204,F,gf,,2011,2017,423,15.2,5.9,3.5,0.6,0.2,0.7,.489,.491,.000,.715,5.9,.044
41,640,2012,NBA,1,30,GSW,Festus Ezeli,22.256,C,ng,Vanderbilt University,2013,2016,170,14.1,4.2,4.3,0.4,0.3,1.0,.513,.513,,.557,5.9,.119
44,641,1993,NBA,1,21,POR,James Robinson,22.309,G,us,University of Alabama,1994,2001,381,18.2,7.6,1.7,1.9,0.5,0.2,.394,.430,.348,.666,5.8,.040
45,642,1999,NBA,1,20,ATL,Dion Glover,20.256,G,us,Georgia Institute of Technology,2000,2005,294,20.9,8.2,3.1,1.5,0.8,0.2,.411,.436,.317,.756,5.8,.045
46,643,2008,NBA,1,14,GSW,Anthony Randolph,18.351,F,de,Louisiana State University,2009,2014,252,15.2,7.1,4.3,0.7,0.6,0.9,.453,.466,.241,.740,5.8,.072
47,644,2002,NBA,1,16,PHI,Jiri Welsch,22.156,G,cz,,2003,2006,247,18.6,6.1,2.4,1.5,0.8,0.1,.403,.425,.343,.752,5.7,.059
48,645,1997,NBA,2,48,WAS,Predrag Drobnjak,21.247,C,me,,2002,2005,278,19.9,7.9,3.5,0.8,0.5,0.4,.425,.433,.340,.799,5.6,.048
49,646,2005,NBA,2,38,ORL,Travis Diener,23.125,G,us,Marquette University,2006,2010,179,14.9,4.8,1.4,2.4,0.4,0.1,.388,.442,.353,.847,5.6,.102
50,647,2012,NBA,2,32,WAS,Tomas Satoransky,20.247,G,cz,,2017,2018,130,18.2,5.2,2.4,2.9,0.6,0.2,.493,.524,.406,.760,5.6,.113
51,648,2005,NBA,1,25,SEA,Johan Petro,19.157,C,fr,,2006,2013,473,15.4,4.7,3.9,0.5,0.4,0.5,.462,.464,.154,.678,5.5,.037
52,649,2015,NBA,1,24,CLE,Tyus Jones,19.050,G,us,Duke University,2016,2018,179,15.7,4.4,1.4,2.8,1.0,0.1,.423,.473,.341,.810,5.5,.093
53,650,2016,NBA,1,11,ORL,Domantas Sabonis,20.056,F-C,us,Gonzaga University,2017,2018,155,22.2,8.6,5.5,1.5,0.5,0.4,.466,.495,.327,.729,5.5,.077
54,651,2008,NBA,2,40,NJN,Chris Douglas-Roberts,21.175,G,us,University of Memphis,2009,2015,222,19.7,7.1,2.1,1.1,0.6,0.2,.439,.465,.329,.831,5.4,.059
55,652,2017,NBA,1,19,ATL,John Collins,19.277,F,us,Wake Forest University,2018,2018,74,24.1,10.5,7.3,1.3,0.6,1.1,.576,.598,.340,.715,5.4,.145
56,653,2011,NBA,2,42,IND,Davis Bertans,18.227,F,lv,,2017,2018,144,13.2,5.3,1.7,0.8,0.3,0.4,.440,.577,.384,.819,5.3,.135
57,654,1998,NBA,1,27,SEA,Vladimir Stepania,22.052,C,ge,,1999,2004,270,13.8,4.1,4.4,0.3,0.4,0.5,.425,.429,.133,.536,5.2,.067
58,655,2009,NBA,2,36,MEM,Sam Young,24.030,F,us,University of Pittsburgh,2010,2013,249,15.9,5.8,2.3,0.7,0.5,0.2,.442,.468,.280,.742,5.2,.063
59,656,2013,NBA,2,55,MEM,Joffrey Lauvergne,21.276,C-F,fr,,2015,2018,208,13.6,5.6,3.8,0.9,0.3,0.2,.479,.520,.285,.719,5.2,.089
60,657,2014,NBA,1,13,MIN,Zach LaVine,19.113,G,us,"University of California, Los Angeles",2015,2018,230,28.7,14.0,3.0,3.2,0.8,0.2,.437,.470,.373,.820,5.2,.038
